

------------------- CYCLE: 1
-- SCATTER
scatter | en: -6.15828
-- STAGE 1
loop: 2 | en_min: -6.1681
loop: 7 | en_min: -6.2506
loop: 16 | en_min: -6.42354
loop: 115 | en_min: -6.47353
-- STAGE 2
loop: 39 | en_min: -6.6677
loop: 90 | en_min: -6.70674
loop: 100 | en_min: -6.9757
loop: 212 | en_min: -7.01666
loop: 220 | en_min: -7.17806
loop: 242 | en_min: -7.3299
loop: 253 | en_min: -7.35969
loop: 364 | en_min: -7.45181
loop: 473 | en_min: -7.51262
loop: 524 | en_min: -7.68611
loop: 562 | en_min: -8.01601
loop: 690 | en_min: -8.01996
cycle_min: -8.01996


------------------- CYCLE: 2
-- SCATTER
scatter | en: -2.39913
-- STAGE 1
loop: 1 | en_min: -5.46975
loop: 4 | en_min: -5.56308
loop: 5 | en_min: -6.46272
loop: 24 | en_min: -6.48993
loop: 68 | en_min: -6.56557
loop: 150 | en_min: -6.70285
loop: 173 | en_min: -6.70686
loop: 176 | en_min: -6.72044
-- STAGE 2
loop: 63 | en_min: -6.78527
loop: 153 | en_min: -7.0193
loop: 185 | en_min: -7.25668
loop: 310 | en_min: -7.27408
cycle_min: -7.27408


------------------- CYCLE: 3
-- SCATTER
scatter | en: 106.763
-- STAGE 1
loop: 1 | en_min: -2.74823
loop: 3 | en_min: -5.62106
loop: 12 | en_min: -5.65802
loop: 19 | en_min: -5.78379
loop: 23 | en_min: -5.89271
loop: 24 | en_min: -6.01463
loop: 27 | en_min: -6.14544
loop: 31 | en_min: -6.29334
loop: 45 | en_min: -6.37966
loop: 109 | en_min: -6.43912
loop: 179 | en_min: -6.45051
loop: 216 | en_min: -6.49891
-- STAGE 2
loop: 14 | en_min: -6.56173
loop: 20 | en_min: -6.80156
loop: 31 | en_min: -7.41494
loop: 119 | en_min: -7.64898
loop: 302 | en_min: -7.76145
loop: 360 | en_min: -7.88504
loop: 410 | en_min: -7.95273
loop: 433 | en_min: -7.95695
loop: 517 | en_min: -7.99199
loop: 628 | en_min: -8.07905
loop: 659 | en_min: -8.28577
cycle_min: -8.28577


------------------- CYCLE: 4
-- SCATTER
scatter | en: 16.1588
-- STAGE 1
loop: 5 | en_min: -1.85324
loop: 6 | en_min: -4.77872
loop: 14 | en_min: -5.67481
loop: 22 | en_min: -5.942
loop: 37 | en_min: -5.99901
loop: 38 | en_min: -6.14342
loop: 39 | en_min: -6.59619
loop: 52 | en_min: -6.67932
loop: 78 | en_min: -6.75644
loop: 79 | en_min: -6.78104
-- STAGE 2
loop: 2 | en_min: -6.96849
loop: 22 | en_min: -7.14741
loop: 47 | en_min: -7.30458
loop: 303 | en_min: -7.37628
loop: 461 | en_min: -7.40639
loop: 472 | en_min: -7.53732
loop: 486 | en_min: -7.53964
loop: 647 | en_min: -7.54328
loop: 691 | en_min: -7.61555
cycle_min: -7.61555


------------------- CYCLE: 5
-- SCATTER
scatter | en: 149.586
-- STAGE 1
loop: 1 | en_min: 6.09013
loop: 4 | en_min: -2.10579
loop: 9 | en_min: -2.59128
loop: 11 | en_min: -3.46864
loop: 19 | en_min: -3.85046
loop: 22 | en_min: -5.44246
loop: 23 | en_min: -5.69135
loop: 27 | en_min: -5.78816
loop: 36 | en_min: -5.88811
loop: 48 | en_min: -6.01305
loop: 59 | en_min: -6.09016
loop: 72 | en_min: -6.26381
loop: 157 | en_min: -6.28627
-- STAGE 2
loop: 64 | en_min: -6.40051
loop: 68 | en_min: -6.63257
loop: 78 | en_min: -6.73942
loop: 83 | en_min: -6.76383
loop: 153 | en_min: -6.85577
loop: 158 | en_min: -6.89157
loop: 193 | en_min: -6.89708
loop: 197 | en_min: -6.99649
loop: 301 | en_min: -7.12985
loop: 364 | en_min: -7.29041
loop: 469 | en_min: -7.52662
cycle_min: -7.52662


------------------- CYCLE: 6
-- SCATTER
scatter | en: -2.1545
-- STAGE 1
loop: 1 | en_min: -3.90422
loop: 2 | en_min: -5.6056
loop: 23 | en_min: -5.69007
loop: 101 | en_min: -5.97782
loop: 122 | en_min: -6.09905
loop: 221 | en_min: -6.11995
loop: 227 | en_min: -6.22108
-- STAGE 2
loop: 20 | en_min: -6.45683
loop: 31 | en_min: -6.47494
loop: 44 | en_min: -6.65877
loop: 45 | en_min: -6.80269
loop: 51 | en_min: -6.97079
loop: 81 | en_min: -7.21926
loop: 89 | en_min: -7.23885
loop: 94 | en_min: -7.41178
loop: 109 | en_min: -7.66474
loop: 123 | en_min: -7.79283
loop: 152 | en_min: -8.05474
cycle_min: -8.05474


------------------- CYCLE: 7
-- SCATTER
scatter | en: 94.6399
-- STAGE 1
loop: 1 | en_min: 47.4641
loop: 2 | en_min: -1.10923
loop: 6 | en_min: -2.07317
loop: 7 | en_min: -3.74006
loop: 10 | en_min: -3.98577
loop: 11 | en_min: -4.48295
loop: 18 | en_min: -5.25269
loop: 22 | en_min: -5.51601
loop: 34 | en_min: -6.26003
loop: 171 | en_min: -6.34951
-- STAGE 2
loop: 214 | en_min: -6.74643
loop: 283 | en_min: -7.21673
loop: 658 | en_min: -7.28166
cycle_min: -7.28166


------------------- CYCLE: 8
-- SCATTER
scatter | en: 277.244
-- STAGE 1
loop: 1 | en_min: -3.78083
loop: 2 | en_min: -5.52032
loop: 4 | en_min: -5.65187
loop: 29 | en_min: -5.65303
loop: 30 | en_min: -5.95705
loop: 33 | en_min: -6.18634
loop: 216 | en_min: -6.23046
-- STAGE 2
loop: 35 | en_min: -6.56494
loop: 38 | en_min: -6.77672
loop: 145 | en_min: -6.79109
loop: 148 | en_min: -6.85687
loop: 164 | en_min: -7.07791
loop: 280 | en_min: -7.08196
loop: 294 | en_min: -7.11281
loop: 341 | en_min: -7.17655
loop: 410 | en_min: -7.1984
cycle_min: -7.1984


------------------- CYCLE: 9
-- SCATTER
scatter | en: 28.4801
-- STAGE 1
loop: 1 | en_min: 1.44424
loop: 3 | en_min: -4.16019
loop: 5 | en_min: -6.25551
loop: 9 | en_min: -6.26413
loop: 155 | en_min: -6.29141
loop: 275 | en_min: -6.34437
-- STAGE 2
loop: 7 | en_min: -6.36897
loop: 8 | en_min: -6.42967
loop: 9 | en_min: -6.54861
loop: 11 | en_min: -7.03578
loop: 18 | en_min: -7.29811
loop: 45 | en_min: -7.34076
loop: 47 | en_min: -7.45685
loop: 200 | en_min: -7.55192
loop: 210 | en_min: -7.60856
loop: 237 | en_min: -7.625
loop: 301 | en_min: -7.73395
loop: 317 | en_min: -7.78126
loop: 321 | en_min: -7.90452
loop: 331 | en_min: -8.04539
loop: 348 | en_min: -8.14592
loop: 374 | en_min: -8.19329
loop: 378 | en_min: -8.21047
loop: 391 | en_min: -8.22837
loop: 394 | en_min: -8.37865
loop: 398 | en_min: -8.37907
loop: 423 | en_min: -8.41836
loop: 429 | en_min: -8.54236
loop: 452 | en_min: -8.55814
loop: 497 | en_min: -8.72431
loop: 507 | en_min: -8.79334
loop: 638 | en_min: -8.93624
cycle_min: -8.93624


------------------- CYCLE: 10
-- SCATTER
scatter | en: 56.6209
-- STAGE 1
loop: 1 | en_min: 18.6634
loop: 3 | en_min: -0.74908
loop: 4 | en_min: -5.6596
loop: 37 | en_min: -5.83121
loop: 40 | en_min: -5.97278
loop: 169 | en_min: -6.20612
loop: 189 | en_min: -6.2621
-- STAGE 2
loop: 73 | en_min: -6.27411
loop: 122 | en_min: -6.32347
loop: 137 | en_min: -6.36178
loop: 150 | en_min: -6.4174
loop: 176 | en_min: -6.6024
loop: 191 | en_min: -6.62394
loop: 211 | en_min: -6.65523
loop: 224 | en_min: -6.71463
loop: 246 | en_min: -6.86618
loop: 257 | en_min: -6.87204
loop: 270 | en_min: -6.87601
loop: 325 | en_min: -6.96462
loop: 335 | en_min: -7.0335
loop: 341 | en_min: -7.09803
loop: 347 | en_min: -7.09968
loop: 354 | en_min: -7.28958
loop: 373 | en_min: -7.49437
loop: 379 | en_min: -7.92559
loop: 442 | en_min: -7.96456
loop: 611 | en_min: -7.96919
loop: 657 | en_min: -8.05893
cycle_min: -8.05893


------------------- CYCLE: 11
-- SCATTER
scatter | en: 0.0924168
-- STAGE 1
loop: 3 | en_min: -2.47746
loop: 5 | en_min: -4.64705
loop: 8 | en_min: -5.79446
loop: 45 | en_min: -5.89294
loop: 72 | en_min: -5.91214
loop: 85 | en_min: -6.16322
-- STAGE 2
