

------------------- CYCLE: 1
-- SCATTER
scatter | en: -3.25623
loop: 1 | en_min: -2.89833, en_found: -3.21911
loop: 2 | en_min: -3.21911, en_found: -3.31262
loop: 9 | en_min: -3.31262, en_found: -3.33181
loop: 15 | en_min: -3.33181, en_found: -3.35522
-- STAGE 2
loop: 1 | en_min: -3.35522, en_found: -3.75711
loop: 5 | en_min: -3.75711, en_found: -3.84015
loop: 7 | en_min: -3.84015, en_found: -3.86147
loop: 9 | en_min: -3.86147, en_found: -3.89427
loop: 25 | en_min: -3.89427, en_found: -3.89962
loop: 33 | en_min: -3.89962, en_found: -3.90835
loop: 39 | en_min: -3.90835, en_found: -3.91238
loop: 84 | en_min: -3.91238, en_found: -3.9202
loop: 86 | en_min: -3.9202, en_found: -3.94165
loop: 143 | en_min: -3.94165, en_found: -3.94908
loop: 191 | en_min: -3.94908, en_found: -3.94953
cycle_min: -3.94953


------------------- CYCLE: 7
-- SCATTER
scatter | en: -3.31885
-- STAGE 1
loop: 1 | en_min: -3.31885, en_found: -3.36049
loop: 5 | en_min: -3.36049, en_found: -3.36889
loop: 17 | en_min: -3.36889, en_found: -3.37115
-- STAGE 2
loop: 1 | en_min: -3.37115, en_found: -3.54315
loop: 2 | en_min: -3.54315, en_found: -3.6107
loop: 3 | en_min: -3.6107, en_found: -3.6858
loop: 4 | en_min: -3.6858, en_found: -3.77613
loop: 5 | en_min: -3.77613, en_found: -3.84751
loop: 6 | en_min: -3.84751, en_found: -3.84769
loop: 7 | en_min: -3.84769, en_found: -3.88148
loop: 13 | en_min: -3.88148, en_found: -3.94013
loop: 22 | en_min: -3.94013, en_found: -3.95406
loop: 34 | en_min: -3.95406, en_found: -3.97609
loop: 84 | en_min: -3.97609, en_found: -3.98273
loop: 188 | en_min: -3.98273, en_found: -3.98383
cycle_min: -3.98383


------------------- CYCLE: 8
-- SCATTER
scatter | en: -2.76877
-- STAGE 1
loop: 1 | en_min: -2.76877, en_found: -3.25892
loop: 7 | en_min: -3.25892, en_found: -3.26696
loop: 47 | en_min: -3.26696, en_found: -3.2671
-- STAGE 2
loop: 1 | en_min: -3.2671, en_found: -3.46365
loop: 2 | en_min: -3.46365, en_found: -3.56861
loop: 3 | en_min: -3.56861, en_found: -3.67907
loop: 9 | en_min: -3.67907, en_found: -3.68347
loop: 11 | en_min: -3.68347, en_found: -3.70776
loop: 19 | en_min: -3.70776, en_found: -3.72246
loop: 32 | en_min: -3.72246, en_found: -3.74283
loop: 56 | en_min: -3.74283, en_found: -3.76529
loop: 59 | en_min: -3.76529, en_found: -3.77766
loop: 62 | en_min: -3.77766, en_found: -3.78284
loop: 63 | en_min: -3.78284, en_found: -3.79051
loop: 67 | en_min: -3.79051, en_found: -3.83738
loop: 69 | en_min: -3.83738, en_found: -3.8576
loop: 76 | en_min: -3.8576, en_found: -3.86055
loop: 98 | en_min: -3.86055, en_found: -3.8662
cycle_min: -3.8662


------------------- CYCLE: 9
-- SCATTER
scatter | en: -2.29117
-- STAGE 1
loop: 2 | en_min: -2.29117, en_found: -3.08093
loop: 4 | en_min: -3.08093, en_found: -3.32389
loop: 12 | en_min: -3.32389, en_found: -3.34146
