

------------------- CYCLE: 1
-- SCATTER
loop: 3 | en_min: 376.518
loop: 4 | en_min: 94.0982
loop: 11 | en_min: 79.8992
loop: 12 | en_min: 77.4641
loop: 13 | en_min: 63.6863
loop: 17 | en_min: 63.4783
loop: 18 | en_min: 38.4915
loop: 19 | en_min: 29.3224
loop: 23 | en_min: 18.4653
loop: 24 | en_min: 18.1945
loop: 28 | en_min: 16.1563
loop: 29 | en_min: 12.3828
loop: 31 | en_min: 12.2591
loop: 34 | en_min: 10.5805
loop: 39 | en_min: 8.39234
loop: 41 | en_min: 6.92033
loop: 53 | en_min: 5.31289
loop: 62 | en_min: 4.81985
loop: 65 | en_min: 4.16345
loop: 68 | en_min: -0.574782
loop: 72 | en_min: -0.667859
loop: 76 | en_min: -2.03606
loop: 79 | en_min: -2.13003
loop: 80 | en_min: -3.15479
loop: 84 | en_min: -3.24836
loop: 88 | en_min: -4.1791
loop: 92 | en_min: -4.53635
loop: 99 | en_min: -4.55527
loop: 107 | en_min: -4.72763
loop: 134 | en_min: -4.74426
loop: 138 | en_min: -4.75964
loop: 159 | en_min: -4.79738
loop: 245 | en_min: -4.81309
loop: 251 | en_min: -4.83695
loop: 253 | en_min: -4.83929
loop: 263 | en_min: -4.88594
loop: 332 | en_min: -4.89493
loop: 353 | en_min: -4.90643
cycle_min: -4.90643


RESULTS:
1: -7.18531
2: -4.32717
3: -4.07545
4: -3.93565
5: -4.90643

TOTAL MIN:
1: -7.18531
