

------------------- CYCLE: 1
-- SCATTER
scatter | en: 1.49888
loop: 732 | en_min: -5.42195
loop: 795 | en_min: -5.45119
loop: 1029 | en_min: -5.55288
loop: 1108 | en_min: -5.63436
loop: 1163 | en_min: -5.67083
loop: 1447 | en_min: -5.79298
loop: 1742 | en_min: -5.92672
cycle_min: -5.92672


------------------- CYCLE: 6
-- SCATTER
scatter | en: -2.301
-- STAGE 1
loop: 81 | en_min: -2.52484
loop: 98 | en_min: -2.67382
loop: 148 | en_min: -2.69311
loop: 207 | en_min: -2.73359
loop: 255 | en_min: -2.79175
loop: 362 | en_min: -2.80957
loop: 423 | en_min: -2.89201
loop: 442 | en_min: -2.94989
loop: 453 | en_min: -3.09767
loop: 507 | en_min: -3.40344
loop: 587 | en_min: -3.41017
loop: 638 | en_min: -3.47726
loop: 702 | en_min: -3.5354
loop: 791 | en_min: -3.62445
loop: 846 | en_min: -3.64833
-- STAGE 2
loop: 14 | en_min: -3.6551
loop: 20 | en_min: -3.66185
loop: 22 | en_min: -3.7571
loop: 23 | en_min: -3.95022
loop: 49 | en_min: -4.14158
loop: 135 | en_min: -4.21699
loop: 140 | en_min: -4.29027
loop: 142 | en_min: -4.29763
loop: 144 | en_min: -4.34771
loop: 171 | en_min: -4.40351
loop: 172 | en_min: -4.40645
loop: 197 | en_min: -4.42584
loop: 221 | en_min: -4.54467
loop: 224 | en_min: -4.54918
loop: 232 | en_min: -4.69279
loop: 234 | en_min: -4.704
loop: 240 | en_min: -4.8553
loop: 259 | en_min: -4.97748
loop: 331 | en_min: -5.052
loop: 344 | en_min: -5.1024
loop: 361 | en_min: -5.17322
loop: 422 | en_min: -5.23975
loop: 488 | en_min: -5.3023
loop: 575 | en_min: -5.30557
loop: 644 | en_min: -5.42331
loop: 647 | en_min: -5.46183
loop: 938 | en_min: -5.56465
loop: 998 | en_min: -5.57627
loop: 1055 | en_min: -5.58161
loop: 1129 | en_min: -5.63805
loop: 1137 | en_min: -5.71639
loop: 1152 | en_min: -5.85881
loop: 1248 | en_min: -5.88029
loop: 1267 | en_min: -5.89641
loop: 1350 | en_min: -5.97316
loop: 1504 | en_min: -6.00766
loop: 1610 | en_min: -6.01963
loop: 1655 | en_min: -6.17924
cycle_min: -6.17924


------------------- CYCLE: 7
-- SCATTER
scatter | en: -2.317
-- STAGE 1
loop: 1 | en_min: -3.44991
loop: 20 | en_min: -3.64453
loop: 116 | en_min: -3.66949
loop: 171 | en_min: -3.71986
loop: 225 | en_min: -3.74183
loop: 311 | en_min: -3.74646
loop: 423 | en_min: -3.76811
loop: 497 | en_min: -3.79323
loop: 563 | en_min: -3.80767
-- STAGE 2
loop: 85 | en_min: -3.82829
loop: 111 | en_min: -3.8728
loop: 123 | en_min: -4.01882
loop: 326 | en_min: -4.02359
loop: 382 | en_min: -4.1038
loop: 424 | en_min: -4.18132
loop: 521 | en_min: -4.20354
loop: 570 | en_min: -4.23212
loop: 591 | en_min: -4.28129
loop: 1471 | en_min: -4.29893
loop: 1492 | en_min: -4.47067
loop: 1733 | en_min: -4.48786
loop: 1931 | en_min: -4.49923
loop: 1962 | en_min: -4.56173
cycle_min: -4.56173


------------------- CYCLE: 8
-- SCATTER
scatter | en: -0.97438
-- STAGE 1
loop: 1 | en_min: -2.29059
loop: 5 | en_min: -2.3237
loop: 6 | en_min: -2.75552
loop: 9 | en_min: -3.17108
loop: 48 | en_min: -3.20273
loop: 218 | en_min: -3.21798
loop: 350 | en_min: -3.30292
loop: 457 | en_min: -3.44857
loop: 480 | en_min: -3.48348
loop: 540 | en_min: -3.56903
loop: 552 | en_min: -3.72826
loop: 634 | en_min: -3.76378
loop: 656 | en_min: -3.83869
-- STAGE 2
loop: 35 | en_min: -3.90543
loop: 55 | en_min: -3.93996
loop: 75 | en_min: -3.95444
loop: 164 | en_min: -3.98979
loop: 219 | en_min: -4.00631
loop: 255 | en_min: -4.34696
loop: 260 | en_min: -4.75496
loop: 344 | en_min: -4.77445
loop: 642 | en_min: -4.80104
loop: 716 | en_min: -4.87791
loop: 740 | en_min: -4.97622
loop: 846 | en_min: -4.99632
loop: 970 | en_min: -5.04332
loop: 1167 | en_min: -5.06699
loop: 1240 | en_min: -5.13397
loop: 1355 | en_min: -5.16291
loop: 1477 | en_min: -5.23573
loop: 1572 | en_min: -5.26806
loop: 1936 | en_min: -5.29648
loop: 1995 | en_min: -5.31645
cycle_min: -5.31645


------------------- CYCLE: 9
-- SCATTER
scatter | en: 44.9082
-- STAGE 1
loop: 1 | en_min: 17.0204
loop: 2 | en_min: 12.106
loop: 7 | en_min: 2.62182
loop: 10 | en_min: 2.32071
loop: 17 | en_min: 0.797197
loop: 22 | en_min: -1.07018
loop: 25 | en_min: -3.16478
loop: 31 | en_min: -3.17396
loop: 33 | en_min: -3.27824
loop: 34 | en_min: -3.31979
loop: 45 | en_min: -3.414
loop: 152 | en_min: -3.47455
loop: 164 | en_min: -3.53119
loop: 211 | en_min: -3.59622
loop: 350 | en_min: -3.61848
loop: 560 | en_min: -3.65572
loop: 616 | en_min: -3.67106
loop: 674 | en_min: -3.68333
-- STAGE 2
loop: 78 | en_min: -3.68432
loop: 81 | en_min: -3.74701
loop: 88 | en_min: -3.77083
loop: 108 | en_min: -3.83434
loop: 109 | en_min: -4.0189
loop: 181 | en_min: -4.02349
loop: 239 | en_min: -4.05001
loop: 245 | en_min: -4.07283
loop: 305 | en_min: -4.21601
loop: 375 | en_min: -4.2311
loop: 398 | en_min: -4.23841
loop: 413 | en_min: -4.33223
loop: 514 | en_min: -4.33337
loop: 585 | en_min: -4.50008
