

------------------- CYCLE: 1
-- SCATTER
loop: 3 | en_min: -6.38669, en_found: -6.48931
loop: 37 | en_min: -6.48931, en_found: -6.55141
loop: 51 | en_min: -6.55141, en_found: -6.728
loop: 61 | en_min: -6.728, en_found: -6.77956
loop: 92 | en_min: -6.77956, en_found: -6.79816
loop: 130 | en_min: -6.79816, en_found: -6.85029
cycle_min: -6.85029


------------------- CYCLE: 7
-- SCATTER
scatter | en: 1956.24
-- STAGE 1
loop: 1 | en_min: 1956.24, en_found: 883.905
loop: 3 | en_min: 883.905, en_found: 343.078
loop: 4 | en_min: 343.078, en_found: 12.3537
loop: 6 | en_min: 12.3537, en_found: -0.918221
loop: 7 | en_min: -0.918221, en_found: -3.75476
loop: 28 | en_min: -3.75476, en_found: -4.73212
loop: 45 | en_min: -4.73212, en_found: -5.30755
loop: 57 | en_min: -5.30755, en_found: -5.60778
loop: 145 | en_min: -5.60778, en_found: -5.67441
loop: 163 | en_min: -5.67441, en_found: -6.16321
-- STAGE 2
loop: 9 | en_min: -6.16321, en_found: -6.3583
loop: 17 | en_min: -6.3583, en_found: -6.79322
loop: 55 | en_min: -6.79322, en_found: -6.95516
loop: 69 | en_min: -6.95516, en_found: -7.10336
loop: 105 | en_min: -7.10336, en_found: -7.35268
loop: 301 | en_min: -7.35268, en_found: -7.39387
cycle_min: -7.39387


------------------- CYCLE: 8
-- SCATTER
scatter | en: 437.777
-- STAGE 1
loop: 1 | en_min: 437.777, en_found: 87.4249
loop: 2 | en_min: 87.4249, en_found: 46.2848
loop: 4 | en_min: 46.2848, en_found: 2.0295
loop: 8 | en_min: 2.0295, en_found: -1.17526
loop: 16 | en_min: -1.17526, en_found: -1.38522
loop: 20 | en_min: -1.38522, en_found: -3.86433
loop: 21 | en_min: -3.86433, en_found: -4.5525
loop: 36 | en_min: -4.5525, en_found: -5.76461
loop: 120 | en_min: -5.76461, en_found: -5.79425
loop: 134 | en_min: -5.79425, en_found: -6.63753
-- STAGE 2
loop: 5 | en_min: -6.63753, en_found: -6.67425
loop: 59 | en_min: -6.67425, en_found: -6.7651
loop: 77 | en_min: -6.7651, en_found: -6.90134
loop: 296 | en_min: -6.90134, en_found: -7.06789
loop: 334 | en_min: -7.06789, en_found: -7.07291
loop: 363 | en_min: -7.07291, en_found: -7.08233
cycle_min: -7.08233


------------------- CYCLE: 9
-- SCATTER
scatter | en: 2657.7
-- STAGE 1
loop: 1 | en_min: 2657.7, en_found: 782.823
loop: 2 | en_min: 782.823, en_found: 746.655
loop: 3 | en_min: 746.655, en_found: 458.14
loop: 4 | en_min: 458.14, en_found: 208.229
loop: 5 | en_min: 208.229, en_found: 44.2918
loop: 6 | en_min: 44.2918, en_found: 22.5067
loop: 10 | en_min: 22.5067, en_found: -2.31738
loop: 15 | en_min: -2.31738, en_found: -5.40297
-- STAGE 2
loop: 7 | en_min: -5.40297, en_found: -5.78958
loop: 43 | en_min: -5.78958, en_found: -5.88656
loop: 69 | en_min: -5.88656, en_found: -5.92795
loop: 92 | en_min: -5.92795, en_found: -6.24002
cycle_min: -6.24002


------------------- CYCLE: 10
-- SCATTER
scatter | en: 8455.02
-- STAGE 1
loop: 1 | en_min: 8455.02, en_found: 98.9861
loop: 2 | en_min: 98.9861, en_found: 17.8488
loop: 3 | en_min: 17.8488, en_found: 2.96308
loop: 5 | en_min: 2.96308, en_found: 2.54523
loop: 9 | en_min: 2.54523, en_found: -1.34022
loop: 33 | en_min: -1.34022, en_found: -2.52848
loop: 62 | en_min: -2.52848, en_found: -5.66797
loop: 125 | en_min: -5.66797, en_found: -6.02799
-- STAGE 2
loop: 98 | en_min: -6.02799, en_found: -6.47631
