

------------------- CYCLE: 1
-- SCATTER
loop: 427 | en_min: -6.80209
loop: 447 | en_min: -6.83777
loop: 463 | en_min: -7.11015
loop: 658 | en_min: -7.1338
cycle_min: -7.1338


------------------- CYCLE: 8
-- SCATTER
scatter | en: -4.23268
-- STAGE 1
loop: 1 | en_min: -5.80213
loop: 3 | en_min: -5.87096
loop: 7 | en_min: -5.92263
loop: 16 | en_min: -6.08298
loop: 24 | en_min: -6.28186
loop: 26 | en_min: -6.2967
loop: 68 | en_min: -6.36523
loop: 81 | en_min: -6.38433
loop: 162 | en_min: -6.41752
loop: 218 | en_min: -6.44578
loop: 238 | en_min: -6.44712
-- STAGE 2
loop: 40 | en_min: -6.77756
loop: 55 | en_min: -6.81011
loop: 64 | en_min: -6.95082
loop: 72 | en_min: -7.2452
loop: 145 | en_min: -7.26401
loop: 238 | en_min: -7.28841
loop: 276 | en_min: -7.49942
loop: 283 | en_min: -7.52946
loop: 344 | en_min: -7.55737
loop: 387 | en_min: -7.58453
loop: 388 | en_min: -7.79782
loop: 394 | en_min: -8.18
loop: 474 | en_min: -8.18239
loop: 519 | en_min: -8.33711
loop: 569 | en_min: -8.42784
loop: 592 | en_min: -8.46041
loop: 599 | en_min: -8.79804
loop: 655 | en_min: -8.98858
cycle_min: -8.98858


------------------- CYCLE: 9
-- SCATTER
scatter | en: -5.27777
-- STAGE 1
loop: 2 | en_min: -5.62004
loop: 6 | en_min: -5.95597
loop: 7 | en_min: -5.98996
loop: 8 | en_min: -6.28326
loop: 61 | en_min: -6.3391
loop: 106 | en_min: -6.39673
loop: 153 | en_min: -6.44718
loop: 163 | en_min: -6.45027
loop: 182 | en_min: -6.59721
-- STAGE 2
loop: 41 | en_min: -6.76162
loop: 56 | en_min: -6.76842
loop: 59 | en_min: -6.77113
loop: 76 | en_min: -6.85168
loop: 120 | en_min: -7.08217
loop: 200 | en_min: -7.12907
loop: 244 | en_min: -7.23194
loop: 375 | en_min: -7.31091
cycle_min: -7.31091


------------------- CYCLE: 10
-- SCATTER
scatter | en: -2.41457
-- STAGE 1
loop: 1 | en_min: -5.50918
loop: 3 | en_min: -5.92863
loop: 4 | en_min: -5.9796
loop: 7 | en_min: -6.18956
loop: 12 | en_min: -6.29397
loop: 15 | en_min: -6.32766
loop: 71 | en_min: -6.42379
loop: 146 | en_min: -6.47648
loop: 160 | en_min: -6.47662
loop: 189 | en_min: -6.51613
-- STAGE 2
loop: 104 | en_min: -6.60752
loop: 111 | en_min: -6.70367
loop: 122 | en_min: -6.77794
