
cycle: 1, scatter | en: -3.837
cycle: 1, stage: 1 | en: -4.27101
cycle: 1, stage: 2 | en: -4.30795

cycle: 2, scatter | en: -4.07243
cycle: 2, stage: 1 | en: -4.37342
cycle: 2, stage: 2 | en: -4.3956

cycle: 3, scatter | en: -4.20167
cycle: 3, stage: 1 | en: -4.36427
cycle: 3, stage: 2 | en: -4.40162

cycle: 4, scatter | en: -4.20755
cycle: 4, stage: 1 | en: -4.26998
cycle: 4, stage: 2 | en: -4.30614

cycle: 5, scatter | en: -3.10663
cycle: 5, stage: 1 | en: -4.26671
cycle: 5, stage: 2 | en: -4.29551

cycle: 6, scatter | en: -3.40176
cycle: 6, stage: 1 | en: -4.36127
cycle: 6, stage: 2 | en: -4.4009

cycle: 7, scatter | en: -4.1734
cycle: 7, stage: 1 | en: -4.2842
cycle: 7, stage: 2 | en: -4.3161

cycle: 8, scatter | en: -4.1811
cycle: 8, stage: 1 | en: -4.3929
cycle: 8, stage: 2 | en: -4.42647

cycle: 9, scatter | en: -2.57372
cycle: 9, stage: 1 | en: -4.38241
cycle: 9, stage: 2 | en: -4.43432

cycle: 10, scatter | en: -3.85489
cycle: 10, stage: 1 | en: -4.24709
cycle: 10, stage: 2 | en: -4.26189
